rep_id,rep_name,rep_manager
1,Allison Hill,Judy Baker
2,Noah Rhodes,Justin Baker
3,Angie Henderson,Stephanie Ross
4,Daniel Wagner,Judy Baker
5,Cristian Santos,Zachary Hicks
6,Connie Lawrence,Anthony Rodriguez
7,Abigail Shaffer,Zachary Hicks
8,Gina Moore,Zachary Hicks
9,Gabrielle Davis,Rebecca Henderson
10,Ryan Munoz,Judy Baker
11,Monica Herrera,Stephanie Ross
12,Jamie Arnold,Zachary Hicks
13,Lisa Hensley,Stephanie Ross
14,Michele Williams,Rebecca Henderson
15,Dylan Miller,Stephanie Ross
16,Brian Ramirez,Zachary Hicks
17,Holly Wood,Stephanie Ross
18,Derek Zuniga,Judy Baker
19,Lisa Jackson,Stephanie Ross
20,Carla Gray,Zachary Hicks
21,Margaret Hawkins Dds,Stephanie Ross
22,Patty Perez,Nan
23,Ethan Adams,Rebecca Henderson
24,Tommy Walter,Nan
25,Matthew Foster,Rebecca Henderson
-1,Unknown,Unknown
