date,sales_rep,rep_id,target_value
2021-08-01,Abigail Shaffer,7,41612.18
2021-08-01,Allison Hill,1,138615.27
2021-08-01,Angie Henderson,3,28750.97
2021-08-01,Brian Ramirez,16,118731.48
2021-08-01,Carla Gray,20,93450.32
2021-08-01,Connie Lawrence,6,68311.34
2021-08-01,Cristian Santos,5,34942.65
2021-08-01,Daniel Wagner,4,112893.78
2021-08-01,Derek Zuniga,18,66262.93
2021-08-01,Dylan Miller,15,16416.89
2021-08-01,Ethan Adams,23,68298.0
2021-08-01,Gabrielle Davis,9,109236.37
2021-08-01,Gina Moore,8,29991.77
2021-08-01,Holly Wood,17,97596.59
2021-08-01,Jamie Arnold,12,52233.7
2021-08-01,Lisa Hensley,13,42753.66
2021-08-01,Lisa Jackson,19,136292.22
2021-08-01,Margaret Hawkins Dds,21,38625.19
2021-08-01,Matthew Foster,25,106650.62
2021-08-01,Michele Williams,14,92495.2
2021-08-01,Monica Herrera,11,49404.35
2021-08-01,Noah Rhodes,2,52551.42
2021-08-01,Patty Perez,22,37626.88
2021-08-01,Ryan Munoz,10,23252.48
2021-08-01,Tommy Walter,24,89930.48
2021-09-01,Abigail Shaffer,7,110325.27
2021-09-01,Allison Hill,1,29127.86
2021-09-01,Angie Henderson,3,12120.66
2021-09-01,Brian Ramirez,16,106028.12
2021-09-01,Carla Gray,20,69893.19
2021-09-01,Connie Lawrence,6,132235.76
2021-09-01,Cristian Santos,5,30900.76
2021-09-01,Daniel Wagner,4,119331.1
2021-09-01,Derek Zuniga,18,51559.23
2021-09-01,Dylan Miller,15,409465.02
2021-09-01,Ethan Adams,23,37836.39
2021-09-01,Gabrielle Davis,9,138435.93
2021-09-01,Gina Moore,8,102696.91
2021-09-01,Holly Wood,17,72303.74
2021-09-01,Jamie Arnold,12,93554.48
2021-09-01,Lisa Hensley,13,32806.77
2021-09-01,Lisa Jackson,19,98030.63
2021-09-01,Margaret Hawkins Dds,21,68490.25
2021-09-01,Matthew Foster,25,49230.16
2021-09-01,Michele Williams,14,45893.16
2021-09-01,Monica Herrera,11,78635.84
2021-09-01,Noah Rhodes,2,54598.35
2021-09-01,Patty Perez,22,32153.26
2021-09-01,Ryan Munoz,10,12213.84
2021-09-01,Tommy Walter,24,287508.93
2021-10-01,Abigail Shaffer,7,120346.4
2021-10-01,Allison Hill,1,124026.72
2021-10-01,Angie Henderson,3,136059.9
2021-10-01,Brian Ramirez,16,86773.44
2021-10-01,Carla Gray,20,141419.73
2021-10-01,Connie Lawrence,6,92536.17
2021-10-01,Cristian Santos,5,56359.99
2021-10-01,Daniel Wagner,4,60479.48
2021-10-01,Derek Zuniga,18,51821.22
